candidate_id,kind,hidden_layer_sizes,hidden_layer_count,max_hidden_width,activation,alpha,optimizer,seed,input_dim,output_dim,parameter_count,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap,fit_seconds
mlp_layers=32x32_act=relu_alpha=0.0001,torch_mlp,"(32, 32)",2,32,relu,0.0001,torch_lbfgs,215,111,3,4739,4739.0,57,torch mlp 32x32 relu a=0.0001,1.0,0.504065,0.495935,0.0,0.253659,0.253659,0.193383
mlp_layers=32x32_act=relu_alpha=0.001,torch_mlp,"(32, 32)",2,32,relu,0.001,torch_lbfgs,215,111,3,4739,4739.0,58,torch mlp 32x32 relu a=0.001,1.0,0.504065,0.495935,0.0,0.260163,0.260163,0.196292
mlp_layers=32x32_act=relu_alpha=0.01,torch_mlp,"(32, 32)",2,32,relu,0.01,torch_lbfgs,215,111,3,4739,4739.0,59,torch mlp 32x32 relu a=0.01,1.0,0.455285,0.544715,0.0,0.284553,0.284553,0.215121
mlp_layers=32x32_act=relu_alpha=0.1,torch_mlp,"(32, 32)",2,32,relu,0.1,torch_lbfgs,215,111,3,4739,4739.0,60,torch mlp 32x32 relu a=0.1,1.0,0.422764,0.577236,0.0,0.295935,0.295935,0.21448
mlp_layers=32x32_act=tanh_alpha=0.0001,torch_mlp,"(32, 32)",2,32,tanh,0.0001,torch_lbfgs,215,111,3,4739,4739.0,61,torch mlp 32x32 tanh a=0.0001,1.0,0.495935,0.504065,0.0,0.263415,0.263415,0.199029
mlp_layers=32x32_act=tanh_alpha=0.001,torch_mlp,"(32, 32)",2,32,tanh,0.001,torch_lbfgs,215,111,3,4739,4739.0,62,torch mlp 32x32 tanh a=0.001,1.0,0.504065,0.495935,0.0,0.260163,0.260163,0.211474
mlp_layers=32x32_act=tanh_alpha=0.01,torch_mlp,"(32, 32)",2,32,tanh,0.01,torch_lbfgs,215,111,3,4739,4739.0,63,torch mlp 32x32 tanh a=0.01,1.0,0.455285,0.544715,0.0,0.279675,0.279675,0.236624
mlp_layers=32x32_act=tanh_alpha=0.1,torch_mlp,"(32, 32)",2,32,tanh,0.1,torch_lbfgs,215,111,3,4739,4739.0,64,torch mlp 32x32 tanh a=0.1,1.0,0.447154,0.552846,0.0,0.284553,0.284553,0.236276
mlp_layers=64x32_act=relu_alpha=0.0001,torch_mlp,"(64, 32)",2,64,relu,0.0001,torch_lbfgs,215,111,3,9347,9347.0,65,torch mlp 64x32 relu a=0.0001,1.0,0.528455,0.471545,0.0,0.255285,0.255285,0.133355
mlp_layers=64x32_act=relu_alpha=0.001,torch_mlp,"(64, 32)",2,64,relu,0.001,torch_lbfgs,215,111,3,9347,9347.0,66,torch mlp 64x32 relu a=0.001,1.0,0.479675,0.520325,0.0,0.282927,0.282927,0.127644
mlp_layers=64x32_act=relu_alpha=0.01,torch_mlp,"(64, 32)",2,64,relu,0.01,torch_lbfgs,215,111,3,9347,9347.0,67,torch mlp 64x32 relu a=0.01,1.0,0.520325,0.479675,0.0,0.256911,0.256911,0.296144
mlp_layers=64x32_act=relu_alpha=0.1,torch_mlp,"(64, 32)",2,64,relu,0.1,torch_lbfgs,215,111,3,9347,9347.0,68,torch mlp 64x32 relu a=0.1,1.0,0.463415,0.536585,0.0,0.291057,0.291057,0.296845
mlp_layers=64x32_act=tanh_alpha=0.0001,torch_mlp,"(64, 32)",2,64,tanh,0.0001,torch_lbfgs,215,111,3,9347,9347.0,69,torch mlp 64x32 tanh a=0.0001,1.0,0.422764,0.577236,0.0,0.308943,0.308943,0.155229
mlp_layers=64x32_act=tanh_alpha=0.001,torch_mlp,"(64, 32)",2,64,tanh,0.001,torch_lbfgs,215,111,3,9347,9347.0,70,torch mlp 64x32 tanh a=0.001,1.0,0.422764,0.577236,0.0,0.312195,0.312195,0.160363
mlp_layers=64x32_act=tanh_alpha=0.01,torch_mlp,"(64, 32)",2,64,tanh,0.01,torch_lbfgs,215,111,3,9347,9347.0,71,torch mlp 64x32 tanh a=0.01,1.0,0.447154,0.552846,0.0,0.278049,0.278049,0.309863
mlp_layers=64x32_act=tanh_alpha=0.1,torch_mlp,"(64, 32)",2,64,tanh,0.1,torch_lbfgs,215,111,3,9347,9347.0,72,torch mlp 64x32 tanh a=0.1,1.0,0.495935,0.504065,0.0,0.263415,0.263415,0.311146
