model,dim_i,dim_j,tau_correct,tau_incorrect,delta,abs_delta
Gemini-1-5-Pro,MA,QLq,0.3285,0.1907,+0.1378,0.1378
Gemini-1-5-Pro,VL,MCu,0.2530,0.1157,+0.1373,0.1373
Gemini-1-5-Pro,VO,QLq,0.4037,0.2736,+0.1301,0.1301
Gemini-1-5-Pro,AT,QLq,0.2789,0.1583,+0.1206,0.1206
Gemini-1-5-Pro,MCu,MA,0.2644,0.1470,+0.1174,0.1174
Gemini-1-5-Pro,MCu,VO,0.3020,0.1863,+0.1156,0.1156
Gemini-1-5-Pro,MCr,QLl,0.3255,0.4294,-0.1039,0.1039
Gemini-1-5-Pro,MCr,GS,0.0343,0.1314,-0.0972,0.0972
Gemini-1-5-Pro,VO,KNf,0.1494,0.0548,+0.0946,0.0946
Gemini-1-5-Pro,AS,AT,0.3270,0.2368,+0.0902,0.0902
Gemini-1-5-Pro,VL,AS,0.4381,0.3506,+0.0875,0.0875
Gemini-1-5-Pro,GS,QLq,-0.1515,-0.0658,-0.0857,0.0857
Gemini-1-5-Pro,AS,MCu,0.3509,0.2690,+0.0819,0.0819
Gemini-1-5-Pro,VO,AT,0.3082,0.2276,+0.0806,0.0806
Gemini-1-5-Pro,AT,GS,0.1706,0.2513,-0.0806,0.0806
Gemini-1-5-Pro,AS,MA,0.3807,0.3098,+0.0709,0.0709
Gemini-1-5-Pro,AS,QLq,0.1402,0.0720,+0.0682,0.0682
Gemini-1-5-Pro,AS,CL,0.1952,0.1276,+0.0676,0.0676
Gemini-1-5-Pro,GS,QLl,-0.0048,0.0613,-0.0661,0.0661
Gemini-1-5-Pro,VL,QLq,0.1406,0.0784,+0.0622,0.0622
Gemini-1-5-Pro,AT,CL,0.2871,0.2261,+0.0610,0.0610
Gemini-1-5-Pro,MCr,KNf,0.1175,0.0582,+0.0593,0.0593
Gemini-1-5-Pro,MA,KNf,0.0628,0.1196,-0.0568,0.0568
Gemini-1-5-Pro,QLl,KNf,0.1682,0.1124,+0.0558,0.0558
Gemini-1-5-Pro,VL,CL,0.1611,0.1066,+0.0545,0.0545
Gemini-1-5-Pro,QLl,QLq,0.4034,0.4572,-0.0538,0.0538
Gemini-1-5-Pro,KNf,QLq,0.2685,0.3216,-0.0531,0.0531
Gemini-1-5-Pro,AS,QLl,0.1948,0.2452,-0.0504,0.0504
Gemini-1-5-Pro,MA,GS,0.0139,-0.0358,+0.0497,0.0497
Gemini-1-5-Pro,VO,QLl,0.3353,0.3844,-0.0491,0.0491
Gemini-1-5-Pro,QLq,CL,0.0827,0.1313,-0.0486,0.0486
Gemini-1-5-Pro,GS,CL,0.3912,0.3470,+0.0443,0.0443
Gemini-1-5-Pro,VL,KNf,-0.0854,-0.0435,-0.0419,0.0419
Gemini-1-5-Pro,AS,KNf,-0.0199,0.0171,-0.0369,0.0369
Gemini-1-5-Pro,MA,CL,0.1014,0.0661,+0.0354,0.0354
Gemini-1-5-Pro,MCu,QLq,0.2716,0.2364,+0.0352,0.0352
Gemini-1-5-Pro,VL,MA,0.3783,0.3451,+0.0332,0.0332
Gemini-1-5-Pro,VL,VO,0.2677,0.3001,-0.0324,0.0324
Gemini-1-5-Pro,MA,VO,0.2935,0.3259,-0.0324,0.0324
Gemini-1-5-Pro,AS,MCr,0.4614,0.4296,+0.0318,0.0318
Gemini-1-5-Pro,VL,GS,0.0018,-0.0296,+0.0314,0.0314
Gemini-1-5-Pro,MCr,VO,0.3344,0.3654,-0.0310,0.0310
Gemini-1-5-Pro,VL,MCr,0.3606,0.3314,+0.0293,0.0293
Gemini-1-5-Pro,GS,KNf,0.0318,0.0607,-0.0289,0.0289
Gemini-1-5-Pro,MCr,CL,0.2133,0.2418,-0.0285,0.0285
Gemini-1-5-Pro,VO,GS,0.0493,0.0226,+0.0267,0.0267
Gemini-1-5-Pro,MCu,KNf,0.2130,0.1887,+0.0243,0.0243
Gemini-1-5-Pro,AS,VO,0.2874,0.3096,-0.0222,0.0222
Gemini-1-5-Pro,MCu,QLl,0.2639,0.2427,+0.0213,0.0213
Gemini-1-5-Pro,AT,KNf,0.1261,0.1092,+0.0168,0.0168
Gemini-1-5-Pro,MCr,MA,0.2881,0.2740,+0.0141,0.0141
Gemini-1-5-Pro,MCu,AT,0.3742,0.3605,+0.0136,0.0136
Gemini-1-5-Pro,VL,QLl,0.2473,0.2596,-0.0123,0.0123
Gemini-1-5-Pro,MCu,GS,0.1556,0.1452,+0.0104,0.0104
Gemini-1-5-Pro,MCu,CL,0.2101,0.2173,-0.0072,0.0072
Gemini-1-5-Pro,VO,CL,0.2276,0.2219,+0.0057,0.0057
Gemini-1-5-Pro,AT,QLl,0.2485,0.2438,+0.0046,0.0046
Gemini-1-5-Pro,QLl,CL,0.2669,0.2707,-0.0038,0.0038
Gemini-1-5-Pro,MCr,QLq,0.2207,0.2171,+0.0036,0.0036
Gemini-1-5-Pro,MA,QLl,0.3194,0.3162,+0.0032,0.0032
Gemini-1-5-Pro,AS,GS,0.1374,0.1344,+0.0029,0.0029
Gemini-1-5-Pro,MCr,AT,0.3636,0.3635,+0.0001,0.0001
Gemini-1.0-Pro-Vision,MCu,VO,0.3977,0.1946,+0.2031,0.2031
Gemini-1.0-Pro-Vision,MCu,QLl,0.3793,0.2269,+0.1524,0.1524
Gemini-1.0-Pro-Vision,VL,CL,0.0359,0.1607,-0.1248,0.1248
Gemini-1.0-Pro-Vision,MCu,MA,0.3012,0.1768,+0.1243,0.1243
Gemini-1.0-Pro-Vision,AS,MA,0.2539,0.3776,-0.1238,0.1238
Gemini-1.0-Pro-Vision,GS,QLq,-0.0116,-0.1330,+0.1214,0.1214
Gemini-1.0-Pro-Vision,AT,QLl,0.3397,0.2283,+0.1114,0.1114
Gemini-1.0-Pro-Vision,VO,KNf,0.0060,0.1145,-0.1085,0.1085
Gemini-1.0-Pro-Vision,VL,QLl,0.1782,0.2828,-0.1046,0.1046
Gemini-1.0-Pro-Vision,GS,QLl,0.1055,0.0043,+0.1011,0.1011
Gemini-1.0-Pro-Vision,MA,QLq,0.3228,0.2268,+0.0959,0.0959
Gemini-1.0-Pro-Vision,MCr,VO,0.4305,0.3371,+0.0934,0.0934
Gemini-1.0-Pro-Vision,VO,QLl,0.4414,0.3506,+0.0907,0.0907
Gemini-1.0-Pro-Vision,VL,MCu,0.2549,0.1643,+0.0905,0.0905
Gemini-1.0-Pro-Vision,VL,KNf,0.0060,-0.0842,+0.0901,0.0901
Gemini-1.0-Pro-Vision,MCu,QLq,0.3135,0.2261,+0.0874,0.0874
Gemini-1.0-Pro-Vision,AT,CL,0.3173,0.2322,+0.0851,0.0851
Gemini-1.0-Pro-Vision,MA,KNf,0.1547,0.0704,+0.0842,0.0842
Gemini-1.0-Pro-Vision,MA,VO,0.2505,0.3325,-0.0820,0.0820
Gemini-1.0-Pro-Vision,MCu,GS,0.2061,0.1247,+0.0814,0.0814
Gemini-1.0-Pro-Vision,QLq,CL,0.1708,0.0909,+0.0799,0.0799
Gemini-1.0-Pro-Vision,VO,GS,0.0920,0.0138,+0.0782,0.0782
Gemini-1.0-Pro-Vision,KNf,QLq,0.3530,0.2785,+0.0745,0.0745
Gemini-1.0-Pro-Vision,MCu,CL,0.2707,0.1977,+0.0730,0.0730
Gemini-1.0-Pro-Vision,AS,KNf,-0.0598,0.0111,-0.0709,0.0709
Gemini-1.0-Pro-Vision,MCr,CL,0.1786,0.2469,-0.0683,0.0683
Gemini-1.0-Pro-Vision,VL,MA,0.4141,0.3535,+0.0605,0.0605
Gemini-1.0-Pro-Vision,VO,AT,0.3132,0.2530,+0.0602,0.0602
Gemini-1.0-Pro-Vision,GS,KNf,0.0031,0.0624,-0.0593,0.0593
Gemini-1.0-Pro-Vision,MCu,AT,0.3328,0.3906,-0.0578,0.0578
Gemini-1.0-Pro-Vision,MCr,QLl,0.3471,0.4035,-0.0564,0.0564
Gemini-1.0-Pro-Vision,MA,AT,0.1842,0.1277,+0.0564,0.0564
Gemini-1.0-Pro-Vision,AS,VO,0.2604,0.3159,-0.0555,0.0555
Gemini-1.0-Pro-Vision,VO,CL,0.2652,0.2128,+0.0524,0.0524
Gemini-1.0-Pro-Vision,QLl,CL,0.2284,0.2789,-0.0504,0.0504
Gemini-1.0-Pro-Vision,MCr,KNf,0.0441,0.0934,-0.0494,0.0494
Gemini-1.0-Pro-Vision,MCu,KNf,0.1572,0.2035,-0.0463,0.0463
Gemini-1.0-Pro-Vision,MA,GS,0.0195,-0.0269,+0.0463,0.0463
Gemini-1.0-Pro-Vision,VO,QLq,0.2903,0.3337,-0.0434,0.0434
Gemini-1.0-Pro-Vision,AT,QLq,0.2435,0.2020,+0.0415,0.0415
Gemini-1.0-Pro-Vision,AS,QLl,0.2004,0.2405,-0.0401,0.0401
Gemini-1.0-Pro-Vision,VL,AS,0.3685,0.4075,-0.0390,0.0390
Gemini-1.0-Pro-Vision,VL,AT,0.1682,0.1302,+0.0380,0.0380
Gemini-1.0-Pro-Vision,QLl,QLq,0.4039,0.4391,-0.0352,0.0352
Gemini-1.0-Pro-Vision,AS,MCr,0.4775,0.4439,+0.0337,0.0337
Gemini-1.0-Pro-Vision,AS,AT,0.2664,0.2990,-0.0326,0.0326
Gemini-1.0-Pro-Vision,MCr,GS,0.0613,0.0936,-0.0323,0.0323
Gemini-1.0-Pro-Vision,AS,GS,0.1052,0.1370,-0.0318,0.0318
Gemini-1.0-Pro-Vision,MCr,AT,0.3950,0.3645,+0.0305,0.0305
Gemini-1.0-Pro-Vision,MA,CL,0.0592,0.0877,-0.0285,0.0285
Gemini-1.0-Pro-Vision,VL,QLq,0.1264,0.0979,+0.0284,0.0284
Gemini-1.0-Pro-Vision,MCr,QLq,0.1947,0.2225,-0.0278,0.0278
Gemini-1.0-Pro-Vision,AS,MCu,0.3363,0.3092,+0.0271,0.0271
Gemini-1.0-Pro-Vision,MA,QLl,0.3009,0.3263,-0.0254,0.0254
Gemini-1.0-Pro-Vision,MCr,MA,0.3092,0.2844,+0.0248,0.0248
Gemini-1.0-Pro-Vision,KNf,CL,0.1501,0.1272,+0.0230,0.0230
Gemini-1.0-Pro-Vision,VL,GS,-0.0018,-0.0237,+0.0218,0.0218
Gemini-1.0-Pro-Vision,QLl,KNf,0.1490,0.1316,+0.0174,0.0174
Gemini-1.0-Pro-Vision,AT,GS,0.2204,0.2036,+0.0168,0.0168
Gemini-1.0-Pro-Vision,MCr,MCu,0.3832,0.3688,+0.0144,0.0144
Gemini-1.0-Pro-Vision,AT,KNf,0.1057,0.1178,-0.0120,0.0120
Gemini-1.0-Pro-Vision,AS,CL,0.1543,0.1631,-0.0088,0.0088
Gemini-1.0-Pro-Vision,GS,CL,0.3685,0.3623,+0.0062,0.0062
Gemini-1.0-Pro-Vision,VL,MCr,0.3602,0.3542,+0.0060,0.0060
Gemini-1.0-Pro-Vision,VL,VO,0.2964,0.2909,+0.0055,0.0055
Gemini-1.0-Pro-Vision,AS,QLq,0.1016,0.1004,+0.0012,0.0012
Human,AT,KNf,0.0702,0.2973,-0.2270,0.2270
Human,MCu,AT,0.3344,0.5479,-0.2135,0.2135
Human,VO,GS,-0.0144,0.1840,-0.1984,0.1984
Human,GS,KNf,0.0136,0.1825,-0.1689,0.1689
Human,GS,QLq,-0.1343,0.0307,-0.1650,0.1650
Human,AT,GS,0.1739,0.3374,-0.1635,0.1635
Human,KNf,QLq,0.2658,0.4279,-0.1621,0.1621
Human,VL,MA,0.3364,0.4922,-0.1557,0.1557
Human,GS,QLl,-0.0030,0.1484,-0.1514,0.1514
Human,MCu,CL,0.1873,0.3350,-0.1477,0.1477
Human,MCr,MCu,0.3484,0.4959,-0.1476,0.1476
Human,MCu,QLl,0.2287,0.3637,-0.1350,0.1350
Human,VO,AT,0.2359,0.3698,-0.1339,0.1339
Human,VL,AT,0.1110,0.2440,-0.1331,0.1331
Human,MCr,KNf,0.0569,0.1899,-0.1330,0.1330
Human,MCr,QLl,0.3590,0.4901,-0.1310,0.1310
Human,VL,MCu,0.1610,0.2908,-0.1298,0.1298
Human,VO,CL,0.1991,0.3225,-0.1235,0.1235
Human,QLl,KNf,0.1133,0.2346,-0.1213,0.1213
Human,QLl,CL,0.2479,0.3652,-0.1173,0.1173
Human,MCu,GS,0.1138,0.2260,-0.1122,0.1122
Human,MA,VO,0.2926,0.4005,-0.1079,0.1079
Human,VL,MCr,0.3306,0.4376,-0.1071,0.1071
Human,VL,VO,0.2687,0.3749,-0.1062,0.1062
Human,AS,KNf,-0.0197,0.0803,-0.1000,0.1000
Human,MCr,GS,0.0554,0.1539,-0.0985,0.0985
Human,VO,KNf,0.1154,0.0196,+0.0958,0.0958
Human,AS,MCr,0.4669,0.3762,+0.0907,0.0907
Human,VL,GS,-0.0085,-0.0929,+0.0844,0.0844
Human,AT,QLl,0.2346,0.3073,-0.0727,0.0727
Human,GS,CL,0.3520,0.4240,-0.0720,0.0720
Human,MCr,AT,0.3558,0.4274,-0.0716,0.0716
Human,VL,KNf,-0.0731,-0.0033,-0.0698,0.0698
Human,MCr,QLq,0.2043,0.2708,-0.0665,0.0665
Human,MCu,QLq,0.2595,0.1969,+0.0626,0.0626
Human,AS,VO,0.3138,0.2550,+0.0588,0.0588
Human,AT,CL,0.2432,0.3001,-0.0569,0.0569
Human,MA,KNf,0.1048,0.0485,+0.0563,0.0563
Human,MA,QLl,0.3056,0.3612,-0.0557,0.0557
Human,AT,QLq,0.2016,0.2570,-0.0554,0.0554
Human,QLq,CL,0.0995,0.1544,-0.0549,0.0549
Human,MCr,VO,0.3657,0.3121,+0.0535,0.0535
Human,MA,CL,0.0732,0.1257,-0.0525,0.0525
Human,AS,MA,0.3389,0.3896,-0.0508,0.0508
Human,MCr,MA,0.2739,0.3236,-0.0497,0.0497
Human,VL,QLl,0.2469,0.2958,-0.0489,0.0489
Human,AS,AT,0.2795,0.3246,-0.0451,0.0451
Human,AS,CL,0.1667,0.1271,+0.0396,0.0396
Human,AS,MCu,0.3131,0.3504,-0.0373,0.0373
Human,VO,QLq,0.3331,0.2978,+0.0353,0.0353
Human,KNf,CL,0.1390,0.1066,+0.0325,0.0325
Human,MA,AT,0.1302,0.1616,-0.0314,0.0314
Human,QLl,QLq,0.4258,0.4568,-0.0310,0.0310
Human,MCr,CL,0.2261,0.2558,-0.0298,0.0298
Human,VL,CL,0.1392,0.1099,+0.0293,0.0293
Human,VL,QLq,0.0996,0.1272,-0.0276,0.0276
Human,AS,GS,0.1256,0.1015,+0.0242,0.0242
Human,VL,AS,0.4007,0.3820,+0.0188,0.0188
Human,AS,QLq,0.1051,0.0880,+0.0170,0.0170
Human,VO,QLl,0.3673,0.3524,+0.0149,0.0149
Human,MCu,VO,0.2418,0.2285,+0.0133,0.0133
Human,MA,GS,-0.0189,-0.0123,-0.0066,0.0066
Human,MCu,KNf,0.1947,0.1999,-0.0052,0.0052
Human,AS,QLl,0.2244,0.2292,-0.0049,0.0049
Human,MA,QLq,0.2484,0.2509,-0.0025,0.0025
Human,MCu,MA,0.2016,0.2038,-0.0022,0.0022
IDEFICS-2,QLl,KNf,-0.0221,0.1715,-0.1936,0.1936
IDEFICS-2,AS,AT,0.4396,0.2473,+0.1923,0.1923
IDEFICS-2,VL,GS,-0.1531,0.0087,-0.1618,0.1618
IDEFICS-2,MA,AT,0.2577,0.1073,+0.1504,0.1504
IDEFICS-2,GS,QLl,-0.0961,0.0523,-0.1483,0.1483
IDEFICS-2,VL,CL,0.0135,0.1611,-0.1476,0.1476
IDEFICS-2,AT,GS,0.0872,0.2333,-0.1461,0.1461
IDEFICS-2,AS,MA,0.4574,0.3219,+0.1355,0.1355
IDEFICS-2,MA,QLl,0.2105,0.3448,-0.1343,0.1343
IDEFICS-2,MA,GS,0.0924,-0.0417,+0.1341,0.1341
IDEFICS-2,VO,CL,0.1149,0.2476,-0.1327,0.1327
IDEFICS-2,MCu,GS,0.0328,0.1604,-0.1276,0.1276
IDEFICS-2,VL,QLq,0.2004,0.0783,+0.1221,0.1221
IDEFICS-2,MCu,VO,0.3409,0.2190,+0.1220,0.1220
IDEFICS-2,MCu,MA,0.3018,0.1801,+0.1217,0.1217
IDEFICS-2,VO,QLq,0.4240,0.3042,+0.1197,0.1197
IDEFICS-2,VO,GS,-0.0709,0.0480,-0.1190,0.1190
IDEFICS-2,MCr,AT,0.4650,0.3481,+0.1169,0.1169
IDEFICS-2,VL,MCr,0.2615,0.3735,-0.1119,0.1119
IDEFICS-2,AS,MCu,0.4088,0.2984,+0.1105,0.1105
IDEFICS-2,KNf,QLq,0.2108,0.3183,-0.1075,0.1075
IDEFICS-2,AS,GS,0.0424,0.1438,-0.1014,0.1014
IDEFICS-2,MCr,GS,-0.0029,0.0952,-0.0981,0.0981
IDEFICS-2,VO,QLl,0.2884,0.3849,-0.0965,0.0965
IDEFICS-2,VL,AS,0.3229,0.4149,-0.0920,0.0920
IDEFICS-2,MCu,AT,0.4381,0.3596,+0.0785,0.0785
IDEFICS-2,MCr,VO,0.4206,0.3447,+0.0759,0.0759
IDEFICS-2,MCr,MCu,0.4389,0.3650,+0.0739,0.0739
IDEFICS-2,MCr,QLq,0.2740,0.2009,+0.0731,0.0731
IDEFICS-2,MCu,CL,0.1560,0.2271,-0.0711,0.0711
IDEFICS-2,AS,CL,0.1047,0.1735,-0.0688,0.0688
IDEFICS-2,VO,AT,0.3212,0.2524,+0.0687,0.0687
IDEFICS-2,GS,QLq,-0.1588,-0.0902,-0.0686,0.0686
IDEFICS-2,AT,QLq,0.2667,0.1982,+0.0685,0.0685
IDEFICS-2,MA,CL,0.0264,0.0938,-0.0674,0.0674
IDEFICS-2,GS,CL,0.3120,0.3774,-0.0654,0.0654
IDEFICS-2,AS,QLl,0.1775,0.2414,-0.0640,0.0640
IDEFICS-2,MA,VO,0.3660,0.3029,+0.0630,0.0630
IDEFICS-2,VL,QLl,0.3113,0.2498,+0.0616,0.0616
IDEFICS-2,GS,KNf,0.0961,0.0374,+0.0586,0.0586
IDEFICS-2,MCu,QLl,0.2154,0.2662,-0.0509,0.0509
IDEFICS-2,MA,KNf,0.0518,0.1023,-0.0505,0.0505
IDEFICS-2,VO,KNf,0.1317,0.0841,+0.0475,0.0475
IDEFICS-2,VL,MA,0.3290,0.3744,-0.0454,0.0454
IDEFICS-2,AS,VO,0.3359,0.2980,+0.0378,0.0378
IDEFICS-2,MCr,MA,0.3168,0.2790,+0.0378,0.0378
IDEFICS-2,MCu,KNf,0.2222,0.1891,+0.0331,0.0331
IDEFICS-2,VL,AT,0.1086,0.1400,-0.0315,0.0315
IDEFICS-2,QLq,CL,0.0886,0.1143,-0.0256,0.0256
IDEFICS-2,MCu,QLq,0.2638,0.2432,+0.0205,0.0205
IDEFICS-2,AT,CL,0.2376,0.2559,-0.0184,0.0184
IDEFICS-2,MA,QLq,0.2619,0.2437,+0.0182,0.0182
IDEFICS-2,QLl,CL,0.2541,0.2704,-0.0163,0.0163
IDEFICS-2,MCr,CL,0.2412,0.2252,+0.0161,0.0161
IDEFICS-2,KNf,CL,0.1214,0.1368,-0.0154,0.0154
IDEFICS-2,AT,KNf,0.1053,0.1194,-0.0141,0.0141
IDEFICS-2,VL,VO,0.2834,0.2972,-0.0139,0.0139
IDEFICS-2,AS,MCr,0.4408,0.4546,-0.0138,0.0138
IDEFICS-2,VL,MCu,0.1762,0.1887,-0.0125,0.0125
IDEFICS-2,MCr,QLl,0.3784,0.3899,-0.0115,0.0115
IDEFICS-2,VL,KNf,-0.0651,-0.0558,-0.0093,0.0093
IDEFICS-2,AS,KNf,0.0052,-0.0009,+0.0061,0.0061
IDEFICS-2,QLl,QLq,0.4270,0.4312,-0.0042,0.0042
IDEFICS-2,AT,QLl,0.2476,0.2511,-0.0035,0.0035
IDEFICS-2,MCr,KNf,0.0850,0.0858,-0.0008,0.0008
IDEFICS-2,AS,QLq,0.1009,0.1008,+0.0001,0.0001
IDEFICS-2-Chatty,AS,AT,0.4905,0.2443,+0.2462,0.2462
IDEFICS-2-Chatty,VO,CL,0.0502,0.2539,-0.2037,0.2037
IDEFICS-2-Chatty,GS,CL,0.2099,0.4017,-0.1918,0.1918
IDEFICS-2-Chatty,AT,QLq,0.3484,0.1848,+0.1636,0.1636
IDEFICS-2-Chatty,KNf,CL,0.2557,0.1066,+0.1491,0.1491
IDEFICS-2-Chatty,MA,GS,0.1053,-0.0396,+0.1449,0.1449
IDEFICS-2-Chatty,AS,MA,0.4563,0.3242,+0.1321,0.1321
IDEFICS-2-Chatty,MCu,QLl,0.3555,0.2390,+0.1165,0.1165
IDEFICS-2-Chatty,GS,QLq,-0.1969,-0.0820,-0.1149,0.1149
IDEFICS-2-Chatty,VL,CL,0.0414,0.1486,-0.1072,0.1072
IDEFICS-2-Chatty,MCr,AT,0.4560,0.3530,+0.1030,0.1030
IDEFICS-2-Chatty,MA,AT,0.2234,0.1215,+0.1020,0.1020
IDEFICS-2-Chatty,MA,KNf,0.0139,0.1104,-0.0965,0.0965
IDEFICS-2-Chatty,AT,QLl,0.3361,0.2417,+0.0944,0.0944
IDEFICS-2-Chatty,GS,KNf,-0.0254,0.0654,-0.0909,0.0909
IDEFICS-2-Chatty,VL,AS,0.3258,0.4165,-0.0908,0.0908
IDEFICS-2-Chatty,MA,QLl,0.2465,0.3366,-0.0901,0.0901
IDEFICS-2-Chatty,MCr,QLq,0.2898,0.2005,+0.0893,0.0893
IDEFICS-2-Chatty,AS,QLl,0.3002,0.2171,+0.0830,0.0830
IDEFICS-2-Chatty,MCu,QLq,0.3149,0.2337,+0.0812,0.0812
IDEFICS-2-Chatty,VO,GS,-0.0364,0.0433,-0.0797,0.0797
IDEFICS-2-Chatty,AS,MCr,0.3873,0.4662,-0.0790,0.0790
IDEFICS-2-Chatty,VL,KNf,0.0014,-0.0768,+0.0782,0.0782
IDEFICS-2-Chatty,AT,CL,0.1927,0.2669,-0.0742,0.0742
IDEFICS-2-Chatty,MCu,AT,0.4397,0.3666,+0.0731,0.0731
IDEFICS-2-Chatty,MCu,GS,0.0795,0.1521,-0.0726,0.0726
IDEFICS-2-Chatty,MCu,CL,0.1526,0.2247,-0.0721,0.0721
IDEFICS-2-Chatty,VL,MCu,0.2475,0.1757,+0.0718,0.0718
IDEFICS-2-Chatty,MCr,GS,0.1319,0.0634,+0.0685,0.0685
IDEFICS-2-Chatty,VL,MA,0.4208,0.3528,+0.0680,0.0680
IDEFICS-2-Chatty,VL,MCr,0.2993,0.3672,-0.0679,0.0679
IDEFICS-2-Chatty,AS,VO,0.2497,0.3155,-0.0659,0.0659
IDEFICS-2-Chatty,AS,GS,0.1735,0.1093,+0.0642,0.0642
IDEFICS-2-Chatty,AS,CL,0.1073,0.1701,-0.0628,0.0628
IDEFICS-2-Chatty,VO,AT,0.3183,0.2577,+0.0606,0.0606
IDEFICS-2-Chatty,VL,GS,-0.0690,-0.0087,-0.0602,0.0602
IDEFICS-2-Chatty,VO,QLl,0.3229,0.3783,-0.0554,0.0554
IDEFICS-2-Chatty,MCr,MCu,0.4291,0.3740,+0.0550,0.0550
IDEFICS-2-Chatty,MA,QLq,0.2050,0.2584,-0.0534,0.0534
IDEFICS-2-Chatty,MCu,VO,0.2869,0.2354,+0.0515,0.0515
IDEFICS-2-Chatty,QLl,KNf,0.1000,0.1415,-0.0415,0.0415
IDEFICS-2-Chatty,AT,GS,0.1729,0.2135,-0.0406,0.0406
IDEFICS-2-Chatty,AS,QLq,0.1360,0.0962,+0.0398,0.0398
IDEFICS-2-Chatty,MCu,MA,0.2417,0.2033,+0.0384,0.0384
IDEFICS-2-Chatty,VO,KNf,0.1224,0.0873,+0.0351,0.0351
IDEFICS-2-Chatty,AT,KNf,0.0880,0.1209,-0.0329,0.0329
IDEFICS-2-Chatty,AS,MCu,0.3538,0.3213,+0.0326,0.0326
IDEFICS-2-Chatty,MCr,MA,0.3106,0.2795,+0.0311,0.0311
IDEFICS-2-Chatty,VL,QLq,0.1293,0.0986,+0.0307,0.0307
IDEFICS-2-Chatty,GS,QLl,0.0491,0.0184,+0.0307,0.0307
IDEFICS-2-Chatty,VL,VO,0.3157,0.2857,+0.0300,0.0300
IDEFICS-2-Chatty,MA,CL,0.1064,0.0774,+0.0291,0.0291
IDEFICS-2-Chatty,VL,AT,0.1163,0.1430,-0.0266,0.0266
IDEFICS-2-Chatty,MCr,QLl,0.3692,0.3957,-0.0265,0.0265
IDEFICS-2-Chatty,MA,VO,0.2921,0.3162,-0.0242,0.0242
IDEFICS-2-Chatty,MCr,VO,0.3779,0.3558,+0.0220,0.0220
IDEFICS-2-Chatty,QLq,CL,0.0930,0.1124,-0.0194,0.0194
IDEFICS-2-Chatty,MCu,KNf,0.1805,0.1976,-0.0170,0.0170
IDEFICS-2-Chatty,QLl,QLq,0.4196,0.4333,-0.0137,0.0137
IDEFICS-2-Chatty,VL,QLl,0.2527,0.2647,-0.0120,0.0120
IDEFICS-2-Chatty,KNf,QLq,0.2882,0.2983,-0.0101,0.0101
IDEFICS-2-Chatty,VO,QLq,0.3312,0.3254,+0.0058,0.0058
IDEFICS-2-Chatty,MCr,KNf,0.0793,0.0845,-0.0052,0.0052
IDEFICS-2-Chatty,AS,KNf,-0.0011,-0.0024,+0.0013,0.0013
IDEFICS-2-Chatty,QLl,CL,0.2678,0.2665,+0.0013,0.0013
IDEFICS-2-Chatty,MCr,CL,0.2273,0.2283,-0.0010,0.0010
InternLM-XComposer2,AT,QLq,0.3507,0.1775,+0.1732,0.1732
InternLM-XComposer2,MCr,AT,0.4951,0.3359,+0.1593,0.1593
InternLM-XComposer2,MA,CL,0.2016,0.0519,+0.1497,0.1497
InternLM-XComposer2,QLl,KNf,0.2584,0.1121,+0.1463,0.1463
InternLM-XComposer2,VO,QLl,0.4926,0.3470,+0.1456,0.1456
InternLM-XComposer2,AT,QLl,0.3772,0.2316,+0.1456,0.1456
InternLM-XComposer2,MCu,QLl,0.3718,0.2377,+0.1341,0.1341
InternLM-XComposer2,VL,MCu,0.2923,0.1624,+0.1299,0.1299
InternLM-XComposer2,MCu,QLq,0.3508,0.2252,+0.1256,0.1256
InternLM-XComposer2,MA,GS,0.0832,-0.0405,+0.1236,0.1236
InternLM-XComposer2,MA,AT,0.2264,0.1127,+0.1137,0.1137
InternLM-XComposer2,AS,AT,0.3692,0.2562,+0.1131,0.1131
InternLM-XComposer2,MCu,VO,0.3339,0.2224,+0.1115,0.1115
InternLM-XComposer2,VO,GS,0.1183,0.0110,+0.1073,0.1073
InternLM-XComposer2,VL,MCr,0.2668,0.3728,-0.1061,0.1061
InternLM-XComposer2,GS,QLq,-0.0174,-0.1201,+0.1028,0.1028
InternLM-XComposer2,MCu,AT,0.4536,0.3520,+0.1016,0.1016
InternLM-XComposer2,VL,QLq,0.1852,0.0854,+0.0997,0.0997
InternLM-XComposer2,AS,GS,0.2061,0.1073,+0.0988,0.0988
InternLM-XComposer2,KNf,CL,0.2115,0.1162,+0.0953,0.0953
InternLM-XComposer2,AS,MCu,0.3947,0.3006,+0.0941,0.0941
InternLM-XComposer2,VL,AT,0.2065,0.1163,+0.0903,0.0903
InternLM-XComposer2,AT,GS,0.2823,0.1920,+0.0902,0.0902
InternLM-XComposer2,AS,VO,0.2303,0.3200,-0.0897,0.0897
InternLM-XComposer2,MCr,QLq,0.2903,0.2016,+0.0888,0.0888
InternLM-XComposer2,MCu,CL,0.2845,0.1970,+0.0875,0.0875
InternLM-XComposer2,MCr,MCu,0.4451,0.3610,+0.0840,0.0840
InternLM-XComposer2,MCu,MA,0.2711,0.1898,+0.0814,0.0814
InternLM-XComposer2,MCr,CL,0.1612,0.2415,-0.0804,0.0804
InternLM-XComposer2,VO,KNf,0.0255,0.1054,-0.0799,0.0799
