candidate_id,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,2,0.05,0.8,0.8,5.0,0.0,215,100.0,99,50 trees d=2,0.589789,0.504065,0.085724,0.169718,0.250407,0.080689
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,2,0.05,0.8,0.8,5.0,0.1,215,100.0,100,50 trees d=2,0.588028,0.512195,0.075833,0.167958,0.247154,0.079196
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,2,0.05,0.8,0.8,10.0,0.0,215,100.0,101,50 trees d=2,0.584507,0.495935,0.088572,0.173944,0.247154,0.07321
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,2,0.05,0.8,0.8,10.0,0.1,215,100.0,102,50 trees d=2,0.584507,0.504065,0.080442,0.172887,0.24065,0.067763
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,2,0.05,0.8,1.0,1.0,0.0,215,100.0,103,50 trees d=2,0.589789,0.512195,0.077594,0.169366,0.234146,0.06478
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,2,0.05,0.8,1.0,1.0,0.1,215,100.0,104,50 trees d=2,0.596831,0.512195,0.084636,0.167254,0.22439,0.057136
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,2,0.05,0.8,1.0,5.0,0.0,215,100.0,105,50 trees d=2,0.59331,0.495935,0.097375,0.166549,0.24878,0.082231
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,2,0.05,0.8,1.0,5.0,0.1,215,100.0,106,50 trees d=2,0.575704,0.495935,0.079769,0.174648,0.24878,0.074132
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,2,0.05,0.8,1.0,10.0,0.0,215,100.0,107,50 trees d=2,0.591549,0.512195,0.079354,0.167958,0.237398,0.06944
xgb_n=50_depth=2_lr=0.05_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,2,0.05,0.8,1.0,10.0,0.1,215,100.0,108,50 trees d=2,0.588028,0.495935,0.092093,0.16831,0.245528,0.077218
